ID	E12_S66_known_profiled_metagenome	E1_S65_known_profiled_metagenome	E23_S55_known_profiled_metagenome	E25_S63_known_profiled_metagenome	E30_S56_known_profiled_metagenome	E3_S64_known_profiled_metagenome	E9b_S70_known_profiled_metagenome	R10b_S57_known_profiled_metagenome	R10_S69_known_profiled_metagenome	R14_S71_known_profiled_metagenome	R21_S60_known_profiled_metagenome	R26_S67_known_profiled_metagenome	R29_S61_known_profiled_metagenome	R2_S58_known_profiled_metagenome	R6b_S54_known_profiled_metagenome	R7b_S68_known_profiled_metagenome	S20b_S59_known_profiled_metagenome	S27_S72_known_profiled_metagenome	S2b_S62_known_profiled_metagenome
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	3.50233	0.22826	4.74592	7.15606	0.0	20.28007	4.62596	11.29952	0.52892	0.37726	3.29901	0.27973	1.70295	3.62847	20.39355	23.80294	15.56993	4.02813	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_MGM1	3.50233	0.22826	4.74592	7.15606	0.0	20.28007	4.62596	11.29952	0.52892	0.37726	3.29901	0.27973	1.70295	3.62847	20.39355	23.80294	15.56993	4.02813	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.0	0.0	0.05098	0.0	0.00541	0.03815	0.10005	0.22867	0.03699	0.0599	0.11671	0.0852	0.06244	0.03884	0.02595	0.0	0.09992	0.03822	0.03616
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.0	0.0	0.05098	0.0	0.00541	0.03815	0.10005	0.22867	0.03699	0.0599	0.11671	0.0852	0.06244	0.03884	0.02595	0.0	0.09992	0.03822	0.03616
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0.0	0.0	0.04896	0.0	0.0	0.03815	0.09265	0.19253	0.00315	0.0599	0.11671	0.05092	0.05056	0.0	0.02015	0.0	0.08935	0.02781	0.00726
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_timonensis	0.0	0.0	0.00202	0.0	0.00541	0.0	0.0074	0.03614	0.03383	0.0	0.0	0.03427	0.01189	0.03884	0.0058	0.0	0.01057	0.01041	0.0289
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.28075	0.53494	0.46889	0.88662	0.1963	1.67275	0.30937	0.13407	0.33386	0.02987	0.12033	0.29611	0.97594	0.35436	0.15715	0.14752	0.0	1.41461	0.48866
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	0.28075	0.53494	0.46889	0.88662	0.1963	1.67275	0.30937	0.13407	0.33386	0.02987	0.12033	0.29611	0.97594	0.35436	0.15715	0.14752	0.0	1.41461	0.48866
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.16375	0.53494	0.36406	0.25133	0.18368	1.57588	0.29874	0.13407	0.21505	0.02553	0.02877	0.15534	0.86857	0.18167	0.15715	0.1302	0.0	0.98196	0.48866
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	0.117	0.0	0.10483	0.63529	0.01262	0.09687	0.01063	0.0	0.11881	0.00434	0.09156	0.14077	0.10737	0.17269	0.0	0.01732	0.0	0.43265	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	14.56857	1.62779	3.16268	3.58908	2.82958	5.65334	0.9574	2.78506	9.57023	7.18038	17.59737	1.6254	7.57646	5.05002	3.386	3.54435	5.69944	3.89995	3.61393
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	14.56857	1.62779	3.16268	3.58908	2.82958	5.65334	0.9574	2.78506	9.57023	7.18038	17.59737	1.6254	7.57646	5.05002	3.386	3.54435	5.69944	3.89995	3.61393
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	14.56857	1.62779	3.16268	3.58908	2.82958	5.65334	0.9574	2.78506	9.57023	7.18038	17.59737	1.6254	7.57646	5.05002	3.386	3.54435	5.69944	3.89995	3.61393
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Imtechella	14.56857	1.62779	3.16268	3.58908	2.82958	5.65334	0.9574	2.78506	9.57023	7.18038	17.59737	1.6254	7.57646	5.05002	3.386	3.54435	5.69944	3.89995	3.61393
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Imtechella|s__Imtechella_halotolerans	14.56857	1.62779	3.16268	3.58908	2.82958	5.65334	0.9574	2.78506	9.57023	7.18038	17.59737	1.6254	7.57646	5.05002	3.386	3.54435	5.69944	3.89995	3.61393
k__Bacteria|p__Deferribacteres	0.52791	9.24549	0.04309	0.08979	0.08668	0.11158	0.03793	0.88945	0.0	0.17041	0.0	0.00559	0.03583	0.14894	10.29383	0.21848	0.04207	0.08868	0.6101
k__Bacteria|p__Deferribacteres|c__Deferribacteres	0.52791	9.24549	0.04309	0.08979	0.08668	0.11158	0.03793	0.88945	0.0	0.17041	0.0	0.00559	0.03583	0.14894	10.29383	0.21848	0.04207	0.08868	0.6101
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	0.52791	9.24549	0.04309	0.08979	0.08668	0.11158	0.03793	0.88945	0.0	0.17041	0.0	0.00559	0.03583	0.14894	10.29383	0.21848	0.04207	0.08868	0.6101
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	0.52791	9.24549	0.04309	0.08979	0.08668	0.11158	0.03793	0.88945	0.0	0.17041	0.0	0.00559	0.03583	0.14894	10.29383	0.21848	0.04207	0.08868	0.6101
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum	0.52791	9.24549	0.04309	0.08979	0.08668	0.11158	0.03793	0.88945	0.0	0.17041	0.0	0.00559	0.03583	0.14894	10.29383	0.21848	0.04207	0.08868	0.6101
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum|s__Mucispirillum_schaedleri	0.52791	9.24549	0.04309	0.08979	0.08668	0.11158	0.03793	0.88945	0.0	0.17041	0.0	0.00559	0.03583	0.14894	10.29383	0.21848	0.04207	0.08868	0.6101
k__Bacteria|p__Firmicutes	20.29865	34.20017	46.62143	2.60709	39.33406	13.15184	28.04197	26.63635	8.89302	30.12464	26.66505	5.02975	21.67711	55.20244	29.91972	34.98541	12.38639	10.32997	11.41788
k__Bacteria|p__Firmicutes|c__Bacilli	1.56226	7.24617	8.91904	1.42764	13.08291	5.45887	1.59879	0.0	4.72491	26.63555	15.62266	3.70173	10.9176	7.31977	20.50488	32.77265	5.96473	8.75526	0.23976
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.56226	7.24617	8.91904	1.42764	13.08291	5.45887	1.59879	0.0	4.72491	26.63555	15.62266	3.70173	10.9176	7.31977	20.50488	32.77265	5.96473	8.75526	0.23976
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.0	0.0	0.0	0.02551	0.0	0.0	0.0	0.0	0.0	0.0	0.09285	0.0	0.13799	0.0	0.0	0.0	0.09219	0.04052	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.0	0.0	0.0	0.02551	0.0	0.0	0.0	0.0	0.0	0.0	0.09285	0.0	0.13799	0.0	0.0	0.0	0.09219	0.04052	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae	0.0	0.0	0.0	0.02551	0.0	0.0	0.0	0.0	0.0	0.0	0.09285	0.0	0.13799	0.0	0.0	0.0	0.09219	0.04052	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1.56226	7.24617	8.91904	1.40213	13.08291	5.45887	1.59879	0.0	4.72491	26.63555	15.5298	3.70173	10.77961	7.31977	20.50488	32.77265	5.87253	8.71473	0.23976
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	1.56226	7.24617	8.91904	1.40213	13.08291	5.45887	1.59879	0.0	4.72491	26.63555	15.5298	3.70173	10.77961	7.31977	20.50488	32.77265	5.87253	8.71473	0.23976
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_intestinalis	0.0	0.0	3.17861	0.03366	0.0	1.11859	0.31694	0.0	0.87992	5.46516	2.38997	1.14857	0.0	0.0	0.0	0.0	1.04749	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	0.0	2.71097	0.7898	0.0	6.62238	0.0	0.0	0.0	0.0	4.65726	0.56137	0.0	0.9896	2.3446	0.0	0.0	0.27442	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_murinus	1.56226	0.07133	0.18021	0.51345	0.29309	1.0137	0.0	0.0	1.50351	8.72545	7.52909	0.33341	5.53729	0.12625	20.50488	32.29167	0.07878	8.71473	0.23976
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	0.0	4.46386	4.77042	0.85502	6.16743	3.32657	1.28185	0.0	2.34149	7.78769	5.04937	2.21975	4.25272	4.84892	0.0	0.48098	4.47184	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	18.04321	25.39701	0.31003	0.20297	1.32935	7.08344	0.5334	11.46802	3.92355	3.27897	4.91655	0.32509	1.61935	4.76383	8.88154	2.11142	6.19228	1.37471	9.97986
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	18.04321	25.39701	0.31003	0.20297	1.32935	7.08344	0.5334	11.46802	3.92355	3.27897	4.91655	0.32509	1.61935	4.76383	8.88154	2.11142	6.19228	1.37471	9.97986
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.59151	1.08564	0.0025	0.0	0.03418	0.1495	0.00364	0.21534	0.0184	0.14079	0.0995	0.07005	0.01058	0.01798	0.07395	0.09451	0.12949	0.1492	0.09066
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0.59151	1.08564	0.0025	0.0	0.03418	0.1495	0.00364	0.21534	0.0184	0.14079	0.0995	0.07005	0.01058	0.01798	0.07395	0.09451	0.12949	0.1492	0.09066
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASF356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00307	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_ASF502	0.59151	1.08564	0.0025	0.0	0.03418	0.1495	0.00364	0.21534	0.0184	0.14079	0.0995	0.07005	0.01058	0.01798	0.07089	0.09451	0.12949	0.1492	0.09066
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.0	0.01539	0.0	0.0	0.0	5.18277	0.0	0.0	0.87546	0.7124	0.1561	0.0	0.02578	0.14248	0.0	0.0	0.0	0.21716	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0.0	0.01539	0.0	0.0	0.0	5.18277	0.0	0.0	0.87546	0.7124	0.1561	0.0	0.02578	0.14248	0.0	0.0	0.0	0.21716	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_plexicaudatum	0.0	0.01539	0.0	0.0	0.0	5.18277	0.0	0.0	0.87546	0.7124	0.1561	0.0	0.02578	0.14248	0.0	0.0	0.0	0.21716	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	13.43736	12.69222	0.02756	0.08415	1.06385	0.27952	0.06885	7.38099	2.18268	0.98851	2.64376	0.08558	0.94292	4.07328	5.69977	0.86963	4.75186	0.4286	3.90985
