ID	E15_S89_known_profiled_metagenome	E19b_S88_known_profiled_metagenome	E28_S87_known_profiled_metagenome	E5b_S84_known_profiled_metagenome	E7_S78_known_profiled_metagenome	E8_S74_known_profiled_metagenome	R21b_S76_known_profiled_metagenome	R24_S82_known_profiled_metagenome	R5_S75_known_profiled_metagenome	R6_S81_known_profiled_metagenome	S11b_S73_known_profiled_metagenome	S11_S83_known_profiled_metagenome	S13_S79_known_profiled_metagenome	S22b_S90_known_profiled_metagenome	S22_S77_known_profiled_metagenome	S3b_S86_known_profiled_metagenome	S4_S85_known_profiled_metagenome	S9_S80_known_profiled_metagenome
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.0	0.0	0.0	0.3053	0.11873	0.05773	0.03068	0.02906	0.24278	0.00355	0.03621	0.02164	0.01379	0.05929	0.0059	0.08116	0.08573	0.00789
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.0	0.0	0.0	0.3053	0.11873	0.05773	0.03068	0.02906	0.24278	0.00355	0.03621	0.02164	0.01379	0.05929	0.0059	0.08116	0.08573	0.00789
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0.0	0.0	0.0	0.28269	0.01557	0.02531	0.02954	0.02906	0.04486	0.00355	0.03621	0.02164	0.01315	0.05705	0.0	0.0766	0.02781	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_timonensis	0.0	0.0	0.0	0.0226	0.10317	0.03242	0.00115	0.0	0.19792	0.0	0.0	0.0	0.00064	0.00224	0.0059	0.00456	0.05792	0.00789
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.34145	0.02667	0.36322	0.63421	1.3077	0.14035	0.14885	0.28167	1.08835	0.34405	0.07088	0.84987	0.15404	0.28818	1.11803	0.45842	1.51818	0.15124
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	0.34145	0.02667	0.36322	0.63421	1.3077	0.14035	0.14885	0.28167	1.08835	0.34405	0.07088	0.84987	0.15404	0.28818	1.11803	0.45842	1.51818	0.15124
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.26261	0.02667	0.36322	0.4791	1.08346	0.0	0.10994	0.28167	0.6506	0.34405	0.0456	0.72301	0.14802	0.23764	0.85289	0.38885	1.47769	0.13362
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	0.07884	0.0	0.0	0.15511	0.22424	0.14035	0.03891	0.0	0.43774	0.0	0.02528	0.12687	0.00602	0.05053	0.26514	0.06958	0.04049	0.01762
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	11.98444	6.50151	7.27066	4.77874	7.06418	6.39057	7.94512	6.4523	11.2678	15.46397	1.74997	6.63373	10.61174	7.23359	5.1762	8.49591	17.74786	14.14508
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	11.98444	6.50151	7.27066	4.77874	7.06418	6.39057	7.94512	6.4523	11.2678	15.46397	1.74997	6.63373	10.61174	7.23359	5.1762	8.49591	17.74786	14.14508
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	11.98444	6.50151	7.27066	4.77874	7.06418	6.39057	7.94512	6.4523	11.2678	15.46397	1.74997	6.63373	10.61174	7.23359	5.1762	8.49591	17.74786	14.14508
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Imtechella	11.98444	6.50151	7.27066	4.77874	7.06418	6.39057	7.94512	6.4523	11.2678	15.46397	1.74997	6.63373	10.61174	7.23359	5.1762	8.49591	17.74786	14.14508
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Imtechella|s__Imtechella_halotolerans	11.98444	6.50151	7.27066	4.77874	7.06418	6.39057	7.94512	6.4523	11.2678	15.46397	1.74997	6.63373	10.61174	7.23359	5.1762	8.49591	17.74786	14.14508
k__Bacteria|p__Deferribacteres	0.04301	0.0	0.02546	1.08324	0.14566	0.15223	0.02815	14.32023	0.65323	0.18582	2.68908	0.17446	0.04298	0.02535	0.02656	0.13322	0.10443	0.31512
k__Bacteria|p__Deferribacteres|c__Deferribacteres	0.04301	0.0	0.02546	1.08324	0.14566	0.15223	0.02815	14.32023	0.65323	0.18582	2.68908	0.17446	0.04298	0.02535	0.02656	0.13322	0.10443	0.31512
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	0.04301	0.0	0.02546	1.08324	0.14566	0.15223	0.02815	14.32023	0.65323	0.18582	2.68908	0.17446	0.04298	0.02535	0.02656	0.13322	0.10443	0.31512
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	0.04301	0.0	0.02546	1.08324	0.14566	0.15223	0.02815	14.32023	0.65323	0.18582	2.68908	0.17446	0.04298	0.02535	0.02656	0.13322	0.10443	0.31512
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum	0.04301	0.0	0.02546	1.08324	0.14566	0.15223	0.02815	14.32023	0.65323	0.18582	2.68908	0.17446	0.04298	0.02535	0.02656	0.13322	0.10443	0.31512
